variable_id,long_name,units,table_id
abs550aer,ambient aerosol absorption optical thickness at 550 nm,1,AERmon
acabf,Surface Mass Balance Flux,kg m-2 s-1,ImonGre
acabf,Surface Mass Balance Flux,kg m-2 s-1,ImonAnt
acabf,Surface Mass Balance Flux,kg m-2 s-1,IyrGre
acabfIs,Ice Sheet Surface Mass Balance Flux,kg m-2 s-1,LImon
aerasymbnd,Aerosol Level Asymmetry Parameter for Each Band,1,E3hrPt
aeroptbnd,Aerosol Level Absorption Optical Thickness for Each Band,1,E3hrPt
aerssabnd,Aerosol Level Single Scattering Albedo for Each Band,1,E3hrPt
agesno,Snow Age,day,LImon
agesno,Snow Age,day,Eday
agessc,Sea Water Age Since Surface Contact,yr,Odec
agessc,Sea Water Age Since Surface Contact,yr,Omon
airmass,Vertically Integrated Mass Content of Air in Layer,kg m-2,AERmon
albc,Canopy Albedo,1,Eday
albdiffbnd,Diffuse Surface Albedo for Each Band,1,E3hrPt
albdirbnd,Direct Surface Albedo for Each Band,1,E3hrPt
albisccp,ISCCP Mean Cloud Albedo,1,CFday
albisccp,ISCCP Mean Cloud Albedo,1,CFmon
albsn,Snow Albedo,1,Eday
amocrapid,Atlantic Meridional Overturning Circulation,Sv,Omon
aoanh,Tracer age of air Northern Hemisphere,yr,AERmon
aod550volso4,Aerosol optical depth at 550 nm due to stratospheric volcanic aerosols,1e-09,Eday
arag,Aragonite Concentration,mol m-3,Omon
arag,Aragonite Concentration,mol m-3,Oyr
aragos,Surface Aragonite Concentration,mol m-3,Omon
areacella,Grid-Cell Area for Atmospheric Variables,m2,fx
areacelli,Grid-Cell Area for Sea Ice Variables,m2,Ofx
areacello,Grid-Cell Area for Ocean Variables,m2,Ofx
areacellr,Grid-Cell Area for River Model Variables,m2,fx
ares,Aerodynamic Resistance,s m-1,Eday
bacc,Bacterial Carbon Concentration,mol m-3,Oyr
bacc,Bacterial Carbon Concentration,mol m-3,Omon
baccos,Surface Bacterial Carbon Concentration,mol m-3,Omon
baresoilFrac,Bare Soil Percentage Area Coverage,%,Lmon
baresoilFrac,Bare Soil Percentage Area Coverage,%,Eyr
basin,Region Selection Index,1,Ofx
bddtalk,Rate of Change of Alkalinity Due to Biological Activity,mol m-3 s-1,Oyr
bddtdic,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,mol m-3 s-1,Oyr
bddtdife,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity,mol m-3 s-1,Oyr
bddtdin,Rate of Change of Nitrogen Nutrient Due to Biological Activity,mol m-3 s-1,Oyr
bddtdip,Rate of Change of Dissolved Phosphorus Due to Biological Activity,mol m-3 s-1,Oyr
bddtdisi,Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity,mol m-3 s-1,Oyr
bfe,Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mol m-3,Omon
bfe,Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mol m-3,Oyr
bfeos,Surface Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mol m-3,Omon
bigthetao,Sea Water Conservative Temperature,degC,Omon
bigthetaoga,Global Average Sea Water Conservative Temperature,degC,Omon
bigthetaoga,Global Average Sea Water Conservative Temperature,degC,Odec
bldep,Boundary Layer Depth,m,AERmon
bldep,Boundary Layer Depth,m,6hrPlev
bry,Total Inorganic Bromine Volume Mixing Ratio,mol mol-1,AERmonZ
bsi,Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,mol m-3,Oyr
bsi,Mole Concentration of Particulate Organic Matter expressed as silicon in sea water,mol m-3,Omon
bsios,Surface Mole Concentration of Particulate Organic Matter expressed as Silicon in sea water,mol m-3,Omon
burntFractionAll,Percentage of Entire Grid cell  that is Covered by Burnt Vegetation (All Classes),%,Lmon
c13Land,Mass of 13C in All Terrestrial Carbon Pools,kg m-2,Emon
c13Litter,Mass of 13C in Litter Pool,kg m-2,Emon
c13Soil,Mass of 13C in Soil Pool,kg m-2,Emon
c13Veg,Mass of 13C in Vegetation,kg m-2,Emon
c14Land,Mass of 14C in All Terrestrial Carbon Pools,kg m-2,Emon
c14Litter,Mass of 14C in Litter Pool,kg m-2,Emon
c14Soil,Mass of 14C in Soil Pool,kg m-2,Emon
c14Veg,Mass of 14C in Vegetation,kg m-2,Emon
c2h2,C2H2 Volume Mixing Ratio,mol mol-1,AERmon
c2h6,C2H6 Volume Mixing Ratio,mol mol-1,AERmon
c3PftFrac,Percentage Cover by C3 Plant Functional Type,%,Lmon
c3h6,C3H6  volume mixing ratio,mol mol-1,AERmon
c3h8,C3H8  volume mixing ratio,mol mol-1,AERmon
c4PftFrac,Percentage Cover by C4 Plant Functional Type,%,Lmon
cCwd,Carbon Mass in Coarse Woody Debris,kg m-2,Lmon
cLand,Total Carbon in All Terrestrial Carbon Pools,kg m-2,Emon
cLeaf,Carbon Mass in Leaves,kg m-2,Lmon
cLitter,Carbon Mass in Litter Pool,kg m-2,Lmon
cLitter,Carbon Mass in Litter Pool,kg m-2,Eyr
cLitterAbove,Carbon Mass in Above-Ground Litter,kg m-2,Lmon
cLitterBelow,Carbon Mass in Below-Ground Litter,kg m-2,Lmon
cLitterCwd,Carbon Mass in Coarse Woody Debris,kg m-2,Emon
cLitterGrass,Carbon Mass in Litter on Grass Tiles,kg m-2,Emon
