ds_dir,code,description
CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/Omon/thetaoga/gm,noUse,only contains 3 of 5 files
CMIP/CSIRO/ACCESS-ESM1-5/esm-hist/r1i1p1f1/Omon/all/gn,local,NetCDF: Access failure
CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Omon/all/gn,local,HDF error
CMIP/CSIRO/ACCESS-ESM1-5/historical/r1i1p1f1/Oyr/all/gn,local,Access failure
CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/rsutcs/gn,local,I/O failure
CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/rlutcs/gn,local,I/O failure
CMIP/AWI/AWI-ESM-1-1-LR/historical/r1i1p1f1/Amon/hus/gn,noUse,many missing dates
CMIP/BCC/BCC-CSM2-MR/esm-hist/r1i1p1f1/SImon/siconc/gn,local,NetCDF: Access failure
CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/6hrLev/hus/gn,noUse,all data after 2012 has zeros in the dimensions
CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/SImon/siconc/gn,local,NetCDF: Access failure
CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Amon/o3/gn,noUse,change Amon to Aclim
CMIP/BCC/BCC-ESM1/historical/r1i1p1f1/SImon/siconc/gn,local,NetCDF: Access failure
CMIP/CCCma/CanESM5/esm-hist/r6i1p1f1/Omon/fgco2/gn,local,NetCDF: Access failure
CMIP/CCCma/CanESM5/esm-hist/r7i1p1f1/Omon/fgco2/gn,local,NetCDF: Access failure
CMIP/CCCma/CanESM5/esm-hist/r8i1p1f1/Omon/fgco2/gn,local,NetCDF: Access failure
CMIP/CCCma/CanESM5/esm-hist/r9i1p1f1/Omon/fgco2/gn,local,NetCDF: Access failure
all/CCCma/CanESM5/hist-GHG/r7i1p1f1/Amon/huss/gn,noUse,unknown to_zarr HDF error
CMIP/NCAR/CESM2/piControl/r1i1p1f1/CFday/ta/gn,noUse,too large - kills notebook
CMIP/NCAR/CESM2/esm-hist/r1i1p1f1/Amon/huss/gn,noUse,years 1950 - 1999 not available
CMIP/NCAR/CESM2/esm-hist/r1i1p1f1/Amon/o3/gn,noUse,years 1900 - 1949 not available
CMIP/NCAR/CESM2/esm-hist/r1i1p1f1/Amon/rlus/gn,noUse,years 1900 - 1949 not available
CMIP/NCAR/CESM2/esm-hist/r1i1p1f1/Amon/va/gn,noUse,years 1950 - 1999 not available
CMIP/NCAR/CESM2/esm-hist/r1i1p1f1/Lmon/mrsos/gn,time_1950-2014,years 1900 - 1949 not available
CMIP/NCAR/CESM2/esm-hist/r1i1p1f1/Omon/no3/gn,time_1950-2014,years 1950 - 1999 not available
CMIP/NCAR/CESM2/esm-hist/r1i1p1f1/Omon/no3/gr,time_1950-2014,years 1950 - 1999 not available
CMIP/NCAR/CESM2/esm-hist/r1i1p1f1/Omon/fbddtdife/gr,noUse,missing years
CMIP/NCAR/CESM2/esm-hist/r1i1p1f1/Oyr/calc/gr,noUse,years 1950-2000 missing
CMIP/NCAR/CESM2/esm-hist/r1i1p1f1/Oyr/phyn/gn,noUse,years 1950-2000 missing
CMIP/NCAR/CESM2/esm-hist/r2i1p1f1/AERmon/ps/gn,noUse,years 1950 - 1999 not available
CMIP/NCAR/CESM2/esm-hist/r2i1p1f1/AERmon/ps/gn,time_1950-2014,years 1900 - 1949 not available
CMIP/NCAR/CESM2/esm-hist/r2i1p1f1/Amon/evspsbl/gn,noUse,years 1900 - 1949 not available
CMIP/NCAR/CESM2/esm-hist/r2i1p1f1/Amon/psl/gn,time_1950-2014,years 1900 - 1949 not available
CMIP/NCAR/CESM2/esm-hist/r2i1p1f1/Amon/rlus/gn,noUse,years 1900 - 1949 not available
CMIP/NCAR/CESM2/esm-hist/r2i1p1f1/Amon/rsds/gn,noUse,years 1900 - 1949 not available
CMIP/NCAR/CESM2/esm-hist/r2i1p1f1/Amon/tauu/gn,noUse,years 1950 - 1999 not available
CMIP/NCAR/CESM2/esm-hist/r2i1p1f1/Oyr/ph/gr,noUse,years 1950-2000 missing
