activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,version_id,ncfile,file_size,url,data_node,ds_dir,node_order,start,stop,version,member
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_201001-201412.nc,13306588.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_201001-201412.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,201001,201412,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_193001-193912.nc,19149581.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_193001-193912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,193001,193912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_195001-195912.nc,19043466.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_195001-195912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,195001,195912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_190001-190912.nc,19269298.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_190001-190912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,190001,190912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_189001-189912.nc,19287610.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_189001-189912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,189001,189912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_188001-188912.nc,19240019.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_188001-188912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,188001,188912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_187001-187912.nc,18992608.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_187001-187912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,187001,187912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_197001-197912.nc,18780122.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_197001-197912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,197001,197912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_191001-191912.nc,18997653.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_191001-191912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,191001,191912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_185001-185912.nc,19262387.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_185001-185912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,185001,185912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_186001-186912.nc,19177439.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_186001-186912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,186001,186912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_198001-198912.nc,18697960.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_198001-198912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,198001,198912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_196001-196912.nc,19101908.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_196001-196912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,196001,196912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_199001-199912.nc,18411294.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_199001-199912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,199001,199912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_194001-194912.nc,19043386.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_194001-194912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,194001,194912,20210215,1
CMIP,CAS,CAS-ESM2-0,historical,r1i1p1f1,SImon,siconc,gn,v20201225,siconc_SImon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,84679159.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CAS/CAS-ESM2-0/historical/r1i1p1f1/SImon/siconc/gn/v20201225/siconc_SImon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,esgf-data1.llnl.gov,CMIP/CAS/CAS-ESM2-0/historical/r1i1p1f1/SImon/siconc/gn,0.0,185001,201412,20201225,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_200001-200912.nc,18387738.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_200001-200912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,200001,200912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r1i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_192001-192912.nc,18870944.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r1i1p1f1_gn_192001-192912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r1i1p1f1/SImon/siconc/gn,0.0,192001,192912,20210215,1
CMIP,MPI-M,ICON-ESM-LR,historical,r2i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r2i1p1f1_gn_199001-199912.nc,18642251.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r2i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r2i1p1f1_gn_199001-199912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r2i1p1f1/SImon/siconc/gn,0.0,199001,199912,20210215,2
CMIP,MPI-M,ICON-ESM-LR,historical,r2i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r2i1p1f1_gn_196001-196912.nc,18974444.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r2i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r2i1p1f1_gn_196001-196912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r2i1p1f1/SImon/siconc/gn,0.0,196001,196912,20210215,2
CMIP,MPI-M,ICON-ESM-LR,historical,r2i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r2i1p1f1_gn_198001-198912.nc,18778635.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r2i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r2i1p1f1_gn_198001-198912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r2i1p1f1/SImon/siconc/gn,0.0,198001,198912,20210215,2
CMIP,MPI-M,ICON-ESM-LR,historical,r2i1p1f1,SImon,siconc,gn,v20210215,siconc_SImon_ICON-ESM-LR_historical_r2i1p1f1_gn_197001-197912.nc,18764080.0,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/ICON-ESM-LR/historical/r2i1p1f1/SImon/siconc/gn/v20210215/siconc_SImon_ICON-ESM-LR_historical_r2i1p1f1_gn_197001-197912.nc,esgf-data1.llnl.gov,CMIP/MPI-M/ICON-ESM-LR/historical/r2i1p1f1/SImon/siconc/gn,0.0,197001,197912,20210215,2
